1	50	1	1
2	50	1	1
3	50	1	1
4	50	1	1
5	50	1	1
6	50	1	1
7	36.2486	1	0.724972
8	26.5332	1	0.530664
9	22.4759	1	0.449518
10	19.6578	1	0.393156
11	17.6252	1	0.352504
12	16.1062	1	0.322124
13	14.9542	1	0.299084
14	14.0638	1	0.281276
15	13.3803	1	0.267606
16	12.8038	1	0.256076
17	12.39	1	0.2478
18	12.0441	1	0.240882
19	11.7859	0.9974	0.235718
20	11.5543	0.9775	0.231086
21	11.3994	0.958	0.227988
22	11.2688	0.9391	0.225376
23	11.1705	0.9207	0.22341
24	11.1094	0.9028	0.222188
25	11.0731	0.8859	0.221462
26	11.1279	0.8709	0.222558
27	11.2799	0.8575	0.225598
28	11.4901	0.8455	0.229802
29	11.7785	0.8342	0.23557
30	12.1242	0.8238	0.242484
31	12.5409	0.8134	0.250818
32	13.0147	0.8034	0.260294
33	13.555	0.7934	0.2711
34	14.1691	0.7832	0.283382
35	14.8626	0.7726	0.297252
36	15.6363	0.7617	0.312726
37	16.5157	0.7491	0.330314
38	17.4181	0.7329	0.348362
39	18.3572	0.7115	0.367144
40	19.3371	0.685	0.386742
41	20.3152	0.6538	0.406304
42	21.3693	0.6164	0.427386
43	22.4236	0.5743	0.448472
44	23.5478	0.5259	0.470956
45	24.6948	0.4722	0.493896
46	25.8836	0.4129	0.517672
47	27.1765	0.3468	0.54353
48	28.4821	0.276	0.569642
49	29.8625	0.2015	0.59725
50	31.0687	0.1342	0.621374
51	31.9687	0.079	0.639374
52	32.6184	0.0353	0.652368
53	32.8337	0.0049	0.656674
54	32.7632	-0.0137	0.655264
55	32.3151	-0.019	0.646302
56	31.5788	-0.0132	0.631576
57	30.5702	0.0038	0.611404
58	29.3899	0.0318	0.587798
59	28.1092	0.0674	0.562184
60	26.7131	0.1124	0.534262
61	25.3939	0.1617	0.507878
62	24.2854	0.2088	0.485708
63	23.3844	0.2524	0.467688
64	22.6733	0.2924	0.453466
65	22.1111	0.3307	0.442222
66	21.6755	0.3663	0.43351
67	21.3511	0.4008	0.427022
68	21.1238	0.4332	0.422476
69	20.9887	0.4646	0.419774
70	20.947	0.4955	0.41894
71	20.9632	0.5253	0.419264
72	21.0557	0.5541	0.421114
73	21.2202	0.5823	0.424404
74	21.4236	0.6041	0.428472
75	21.722	0.619	0.43444
76	22.0514	0.6272	0.441028
77	22.4438	0.6286	0.448876
78	22.8824	0.6235	0.457648
79	23.359	0.6112	0.46718
80	23.8731	0.593	0.477462
81	24.4472	0.5679	0.488944
82	25.0735	0.5369	0.50147
83	25.6937	0.4992	0.513874
84	26.4119	0.4555	0.528238
85	27.1377	0.4057	0.542754
86	27.9629	0.3495	0.559258
87	28.8172	0.2877	0.576344
88	29.7259	0.2201	0.594518
89	30.758	0.146	0.61516
90	31.8704	0.0668	0.637408
91	33.1358	-0.0184	0.662716
92	34.5348	-0.1091	0.690696
93	36.1771	-0.2051	0.723542
94	38.1498	-0.3069	0.762996
95	40.6664	-0.4148	0.813328
96	43.8148	-0.5266	0.876296
97	43.6664	-0.5266	0.873328
